Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,18130209,18130209,,
2008-01-02,24889699,24889699,,
2008-01-03,25381974,25381974,,
2008-01-04,24361208,24361208,,
2008-01-05,22042801,22042801,,
2008-01-06,26376883,26376883,,
2008-01-07,29746628,29746628,,
2008-01-08,29987334,29987334,,
2008-01-09,29978621,29978621,,
2008-01-10,29556400,29556400,,
2008-01-11,26850276,26850276,,
2008-01-12,22904647,22904647,,
2008-01-13,28356140,28356140,,
2008-01-14,31883986,31883986,,
2008-01-15,30919560,30919560,,
2008-01-16,30466087,30466087,,
2008-01-17,29526101,29526101,,
2008-01-18,26503053,26503053,,
2008-01-19,23443032,23443032,,
2008-01-20,29825576,29825576,,
2008-01-21,33397472,33397472,,
2008-01-22,32477828,32477828,,
2008-01-23,31787368,31787368,,
2008-01-24,29964795,29964795,,
2008-01-25,25251444,25251444,,
2008-01-26,21912887,21912887,,
2008-01-27,28523526,28523526,,
2008-01-28,31836733,31836733,,
2008-01-29,30769010,30769010,,
2008-01-30,29951879,29951879,,
2008-01-31,27497041,27497041,,
2008-02-01,24481991,24481991,,
2008-02-02,21944839,21944839,,
2008-02-03,23982997,23982997,,
2008-02-04,29151148,29151148,,
2008-02-05,29757055,29757055,,
2008-02-06,30336506,30336506,,
2008-02-07,28505630,28505630,,
2008-02-08,25304594,25304594,,
2008-02-09,20789048,20789048,,
2008-02-10,26138429,26138429,,
2008-02-11,31681261,31681261,,
2008-02-12,30932426,30932426,,
2008-02-13,29656165,29656165,,
2008-02-14,28333678,28333678,,
2008-02-15,25580364,25580364,,
2008-02-16,21421168,21421168,,
2008-02-17,27349811,27349811,,
2008-02-18,31849105,31849105,,
2008-02-19,30851859,30851859,,
2008-02-20,30251831,30251831,,
2008-02-21,30261572,30261572,,
2008-02-22,26324707,26324707,,
2008-02-23,21400235,21400235,,
2008-02-24,27003528,27003528,,
2008-02-25,32644808,32644808,,
2008-02-26,31899895,31899895,,
2008-02-27,30753116,30753116,,
2008-02-28,31157089,31157089,,
2008-02-29,25922119,25922119,,
2008-03-01,25304292,25304292,,
2008-03-02,32367015,32367015,,
2008-03-03,17928268,17928268,,
2008-03-04,14437498,14437498,,
2008-03-05,30570929,30570929,,
2008-03-06,29233571,29233571,,
2008-03-07,25794363,25794363,,
2008-03-08,22150109,22150109,,
2008-03-09,27918051,27918051,,
2008-03-10,31884804,31884804,,
2008-03-11,31194948,31194948,,
2008-03-12,30770869,30770869,,
2008-03-13,28680030,28680030,,
2008-03-14,26451492,26451492,,
2008-03-15,21402937,21402937,,
2008-03-16,27427558,27427558,,
2008-03-17,29036730,29036730,,
2008-03-18,26790523,26790523,,
2008-03-19,25895189,25895189,,
2008-03-20,24031351,24031351,,
2008-03-21,25114673,25114673,,
2008-03-22,20587990,20587990,,
2008-03-23,22316008,22316008,,
2008-03-24,26623646,26623646,,
2008-03-25,29771064,29771064,,
2008-03-26,29029276,29029276,,
2008-03-27,28141741,28141741,,
2008-03-28,29161453,29161453,,
2008-03-29,22253777,22253777,,
2008-03-30,24384335,24384335,,
2008-03-31,35101248,35101248,,
2008-04-01,29410128,29410128,,
2008-04-02,30873981,30873981,,
2008-04-03,29718962,29718962,,
2008-04-04,25480663,25480663,,
2008-04-05,21939364,21939364,,
2008-04-06,27431657,27431657,,
2008-04-07,31913480,31913480,,
2008-04-08,31272843,31272843,,
2008-04-09,30744515,30744515,,
2008-04-10,29714219,29714219,,
2008-04-11,26091103,26091103,,
2008-04-12,21567890,21567890,,
2008-04-13,27989340,27989340,,
2008-04-14,31825414,31825414,,
2008-04-15,31520205,31520205,,
2008-04-16,30459811,30459811,,
2008-04-17,29957926,29957926,,
2008-04-18,25576029,25576029,,
2008-04-19,22323660,22323660,,
2008-04-20,26459932,26459932,,
2008-04-21,32485571,32485571,,
2008-04-22,32883416,32883416,,
2008-04-23,30107791,30107791,,
2008-04-24,28874889,28874889,,
2008-04-25,25867723,25867723,,
2008-04-26,19987301,19987301,,
2008-04-27,25485984,25485984,,
2008-04-28,30836610,30836610,,
2008-04-29,30237922,30237922,,
2008-04-30,25485735,25485735,,
2008-05-01,23088673,23088673,,
2008-05-02,23715973,23715973,,
2008-05-03,19513937,19513937,,
2008-05-04,24939169,24939169,,
2008-05-05,30597822,30597822,,
2008-05-06,29974102,29974102,,
2008-05-07,28233840,28233840,,
2008-05-08,27005226,27005226,,
2008-05-09,21594982,21594982,,
2008-05-10,16829220,16829220,,
2008-05-11,19782680,19782680,,
2008-05-12,24732308,24732308,,
2008-05-13,29668684,29668684,,
2008-05-14,28691216,28691216,,
2008-05-15,28901137,28901137,,
2008-05-16,26000150,26000150,,
2008-05-17,22966134,22966134,,
2008-05-18,30106672,30106672,,
2008-05-19,32767076,32767076,,
2008-05-20,31074835,31074835,,
2008-05-21,29760237,29760237,,
2008-05-22,27567998,27567998,,
2008-05-23,25148700,25148700,,
2008-05-24,22683725,22683725,,
2008-05-25,29127666,29127666,,
2008-05-26,34288425,34288425,,
2008-05-27,32083744,32083744,,
2008-05-28,31057231,31057231,,
2008-05-29,29610098,29610098,,
2008-05-30,25247646,25247646,,
2008-05-31,21094052,21094052,,
2008-06-01,25840398,25840398,,
2008-06-02,31533709,31533709,,
2008-06-03,31235371,31235371,,
2008-06-04,30746216,30746216,,
2008-06-05,29407805,29407805,,
2008-06-06,25699286,25699286,,
2008-06-07,20449944,20449944,,
2008-06-08,25015230,25015230,,
2008-06-09,31258920,31258920,,
2008-06-10,29954790,29954790,,
2008-06-11,30408967,30408967,,
2008-06-12,28758311,28758311,,
2008-06-13,26816572,26816572,,
2008-06-14,22997451,22997451,,
2008-06-15,28892824,28892824,,
2008-06-16,31170673,31170673,,
2008-06-17,31035087,31035087,,
2008-06-18,30034543,30034543,,
2008-06-19,26882559,26882559,,
2008-06-20,25924185,25924185,,
2008-06-21,20645635,20645635,,
2008-06-22,24975145,24975145,,
2008-06-23,31768576,31768576,,
2008-06-24,30066426,30066426,,
2008-06-25,27068804,27068804,,
2008-06-26,27757063,27757063,,
2008-06-27,26008475,26008475,,
2008-06-28,21519571,21519571,,
2008-06-29,21907067,21907067,,
2008-06-30,29201092,29201092,,
2008-07-01,27245099,27245099,,
2008-07-02,26537636,26537636,,
2008-07-03,28757703,28757703,,
2008-07-04,25312082,25312082,,
2008-07-05,19571174,19571174,,
2008-07-06,25503147,25503147,,
2008-07-07,30279280,30279280,,
2008-07-08,29219854,29219854,,
2008-07-09,27915672,27915672,,
2008-07-10,25901395,25901395,,
2008-07-11,25705565,25705565,,
2008-07-12,21716470,21716470,,
2008-07-13,25070918,25070918,,
2008-07-14,28184374,28184374,,
2008-07-15,26463902,26463902,,
2008-07-16,26366784,26366784,,
2008-07-17,27498791,27498791,,
2008-07-18,24550457,24550457,,
2008-07-19,17932115,17932115,,
2008-07-20,22410010,22410010,,
2008-07-21,27978395,27978395,,
2008-07-22,27100226,27100226,,
2008-07-23,25872666,25872666,,
2008-07-24,24516853,24516853,,
2008-07-25,22676429,22676429,,
2008-07-26,18574173,18574173,,
2008-07-27,21680687,21680687,,
2008-07-28,25890383,25890383,,
2008-07-29,25852154,25852154,,
2008-07-30,24832515,24832515,,
2008-07-31,23220757,23220757,,
2008-08-01,22711146,22711146,,
2008-08-02,18895824,18895824,,
2008-08-03,23982368,23982368,,
2008-08-04,28653884,28653884,,
2008-08-05,27418606,27418606,,
2008-08-06,26208666,26208666,,
2008-08-07,26597815,26597815,,
2008-08-08,25993541,25993541,,
2008-08-09,19878166,19878166,,
2008-08-10,24494635,24494635,,
2008-08-11,28681235,28681235,,
2008-08-12,29535123,29535123,,
2008-08-13,28262289,28262289,,
2008-08-14,27283010,27283010,,
2008-08-15,25229557,25229557,,
2008-08-16,18808698,18808698,,
2008-08-17,24058455,24058455,,
2008-08-18,28725882,28725882,,
2008-08-19,29477436,29477436,,
2008-08-20,29455033,29455033,,
2008-08-21,28409398,28409398,,
2008-08-22,25585015,25585015,,
2008-08-23,21195171,21195171,,
2008-08-24,25790028,25790028,,
2008-08-25,31456222,31456222,,
2008-08-26,29796797,29796797,,
2008-08-27,29494245,29494245,,
2008-08-28,28829203,28829203,,
2008-08-29,25455804,25455804,,
2008-08-30,19632130,19632130,,
2008-08-31,24321472,24321472,,
2008-09-01,30591839,30591839,,
2008-09-02,30032975,30032975,,
2008-09-03,29827653,29827653,,
2008-09-04,28545928,28545928,,
2008-09-05,25203893,25203893,,
2008-09-06,20052162,20052162,,
2008-09-07,24620137,24620137,,
2008-09-08,29566267,29566267,,
2008-09-09,28673986,28673986,,
2008-09-10,28245940,28245940,,
2008-09-11,28245984,28245984,,
2008-09-12,26559801,26559801,,
2008-09-13,22374351,22374351,,
2008-09-14,26740853,26740853,,
2008-09-15,32214102,32214102,,
2008-09-16,29573951,29573951,,
2008-09-17,29734890,29734890,,
2008-09-18,26043819,26043819,,
2008-09-19,24472161,24472161,,
2008-09-20,21270488,21270488,,
2008-09-21,26637366,26637366,,
2008-09-22,30220097,30220097,,
2008-09-23,31317769,31317769,,
2008-09-24,29058201,29058201,,
2008-09-25,28929081,28929081,,
2008-09-26,24106746,24106746,,
2008-09-27,19841897,19841897,,
2008-09-28,24225950,24225950,,
2008-09-29,30036579,30036579,,
2008-09-30,30648652,30648652,,
2008-10-01,27997042,27997042,,
2008-10-02,24893289,24893289,,
2008-10-03,23972012,23972012,,
2008-10-04,20465445,20465445,,
2008-10-05,26907754,26907754,,
2008-10-06,31235943,31235943,,
2008-10-07,31072523,31072523,,
2008-10-08,30027811,30027811,,
2008-10-09,29601522,29601522,,
2008-10-10,26399913,26399913,,
2008-10-11,21667011,21667011,,
2008-10-12,26523632,26523632,,
2008-10-13,31103608,31103608,,
2008-10-14,31185800,31185800,,
2008-10-15,30817451,30817451,,
2008-10-16,30193324,30193324,,
2008-10-17,26813499,26813499,,
2008-10-18,21222206,21222206,,
2008-10-19,27694573,27694573,,
2008-10-20,31249167,31249167,,
2008-10-21,13362948,13362948,,
2008-10-22,21580457,21580457,,
2008-10-23,33619396,33619396,,
2008-10-24,27745892,27745892,,
2008-10-25,22961096,22961096,,
2008-10-26,32143830,32143830,,
2008-10-27,32127704,32127704,,
2008-10-28,32036839,32036839,,
2008-10-29,32846516,32846516,,
2008-10-30,32107420,32107420,,
2008-10-31,26242306,26242306,,
2008-11-01,25173823,25173823,,
2008-11-02,31870924,31870924,,
2008-11-03,34084121,34084121,,
2008-11-04,33808645,33808645,,
2008-11-05,36624655,36624655,,
2008-11-06,49394717,49394717,,
2008-11-07,36298061,36298061,,
2008-11-08,27934903,27934903,,
2008-11-09,33035742,33035742,,
2008-11-10,37142600,37142600,,
2008-11-11,35960896,35960896,,
2008-11-12,34961396,34961396,,
2008-11-13,33721193,33721193,,
2008-11-14,28580417,28580417,,
2008-11-15,27616130,27616130,,
2008-11-16,35603818,35603818,,
2008-11-17,38271470,38271470,,
2008-11-18,35653916,35653916,,
2008-11-19,33372341,33372341,,
2008-11-20,31566935,31566935,,
2008-11-21,30729101,30729101,,
2008-11-22,27668941,27668941,,
2008-11-23,33117711,33117711,,
2008-11-24,37828930,37828930,,
2008-11-25,36446636,36446636,,
2008-11-26,37459842,37459842,,
2008-11-27,35499863,35499863,,
2008-11-28,30659035,30659035,,
2008-11-29,26709400,26709400,,
2008-11-30,31355007,31355007,,
2008-12-01,37169973,37169973,,
2008-12-02,36667561,36667561,,
2008-12-03,35619264,35619264,,
2008-12-04,34567385,34567385,,
2008-12-05,29986767,29986767,,
2008-12-06,25726703,25726703,,
2008-12-07,29282730,29282730,,
2008-12-08,41328064,41328064,,
2008-12-09,62019443,62019443,,
2008-12-10,39351548,39351548,,
2008-12-11,52884107,52884107,,
2008-12-12,60143232,60143232,,
2008-12-13,61620171,61620171,,
2008-12-14,32521584,32521584,,
2008-12-15,42170279,42170279,,
2008-12-16,71111002,71111002,,
2008-12-17,70073539,70073539,,
2008-12-18,71193190,71193190,,
2008-12-19,58786433,58786433,,
2008-12-20,66737724,66737724,,
2008-12-21,63415691,63415691,,
2008-12-22,40250965,40250965,,
2008-12-23,36425480,36425480,,
2008-12-24,30715644,30715644,,
2008-12-25,25645063,25645063,,
2008-12-26,23776278,23776278,,
2008-12-27,59792805,59792805,,
2008-12-28,65655610,65655610,,
2008-12-29,67278179,67278179,,
2008-12-30,56216868,56216868,,
2008-12-31,52966347,52966347,,
2009-01-01,75541899,75541899,,
2009-01-02,77138211,77138211,,
2009-01-03,89815651,89815651,,
2009-01-04,96423442,96423442,,
2009-01-05,93837918,93837918,,
2009-01-06,40303766,40303766,,
2009-01-07,35949084,35949084,,
2009-01-08,35470026,35470026,,
2009-01-09,30596060,30596060,,
2009-01-10,27454486,27454486,,
2009-01-11,33063135,33063135,,
2009-01-12,36425874,36425874,,
2009-01-13,36322566,36322566,,
2009-01-14,36878682,36878682,,
2009-01-15,35195988,35195988,,
2009-01-16,30929003,30929003,,
2009-01-17,28185047,28185047,,
2009-01-18,35003531,35003531,,
2009-01-19,37284941,37284941,,
2009-01-20,36559515,36559515,,
2009-01-21,36271449,36271449,,
2009-01-22,33868331,33868331,,
2009-01-23,31951319,31951319,,
2009-01-24,28278337,28278337,,
2009-01-25,35474588,35474588,,
2009-01-26,38143480,38143480,,
2009-01-27,36762842,36762842,,
2009-01-28,36096122,36096122,,
2009-01-29,33538813,33538813,,
2009-01-30,29282175,29282175,,
2009-01-31,26223755,26223755,,
2009-02-01,32148811,32148811,,
2009-02-02,35747454,35747454,,
2009-02-03,35712657,35712657,,
2009-02-04,34186788,34186788,,
2009-02-05,33617569,33617569,,
2009-02-06,30663602,30663602,,
2009-02-07,26613510,26613510,,
2009-02-08,32080222,32080222,,
2009-02-09,36702601,36702601,,
2009-02-10,36706771,36706771,,
2009-02-11,35141731,35141731,,
2009-02-12,33136317,33136317,,
2009-02-13,30093438,30093438,,
2009-02-14,24285203,24285203,,
2009-02-15,32120077,32120077,,
2009-02-16,36468246,36468246,,
2009-02-17,34673776,34673776,,
2009-02-18,33244460,33244460,,
2009-02-19,32646411,32646411,,
2009-02-20,28835149,28835149,,
2009-02-21,25777590,25777590,,
2009-02-22,30972350,30972350,,
2009-02-23,37358894,37358894,,
2009-02-24,36532722,36532722,,
2009-02-25,35505702,35505702,,
2009-02-26,33603096,33603096,,
2009-02-27,32298532,32298532,,
2009-02-28,29340434,29340434,,
2009-03-01,31783734,31783734,,
2009-03-02,36877399,36877399,,
2009-03-03,35337279,35337279,,
2009-03-04,34280004,34280004,,
2009-03-05,34334140,34334140,,
2009-03-06,30777308,30777308,,
2009-03-07,25676756,25676756,,
2009-03-08,33395434,33395434,,
2009-03-09,37326591,37326591,,
2009-03-10,36921262,36921262,,
2009-03-11,34770781,34770781,,
2009-03-12,34299400,34299400,,
2009-03-13,29469805,29469805,,
2009-03-14,24198186,24198186,,
2009-03-15,33122130,33122130,,
2009-03-16,36240012,36240012,,
2009-03-17,35378406,35378406,,
2009-03-18,34072267,34072267,,
2009-03-19,33690396,33690396,,
2009-03-20,29587349,29587349,,
2009-03-21,24806230,24806230,,
2009-03-22,32892794,32892794,,
2009-03-23,39804321,39804321,,
2009-03-24,36582547,36582547,,
2009-03-25,35282942,35282942,,
2009-03-26,33137336,33137336,,
2009-03-27,28095199,28095199,,
2009-03-28,24942709,24942709,,
2009-03-29,29497841,29497841,,
2009-03-30,33363635,33363635,,
2009-03-31,30531504,30531504,,
2009-04-01,29438465,29438465,,
2009-04-02,27345924,27345924,,
2009-04-03,23475027,23475027,,
2009-04-04,19943622,19943622,,
2009-04-05,23975655,23975655,,
2009-04-06,28239307,28239307,,
2009-04-07,27193563,27193563,,
2009-04-08,26732224,26732224,,
2009-04-09,24282210,24282210,,
2009-04-10,22077794,22077794,,
2009-04-11,18319883,18319883,,
2009-04-12,21201727,21201727,,
2009-04-13,25033205,25033205,,
2009-04-14,29270503,29270503,,
2009-04-15,28594457,28594457,,
2009-04-16,30736666,30736666,,
2009-04-17,30712262,30712262,,
2009-04-18,24717190,24717190,,
2009-04-19,28002365,28002365,,
2009-04-20,31975135,31975135,,
2009-04-21,31017551,31017551,,
2009-04-22,30932995,30932995,,
2009-04-23,30812527,30812527,,
2009-04-24,26882652,26882652,,
2009-04-25,22263879,22263879,,
2009-04-26,28252537,28252537,,
2009-04-27,34297828,34297828,,
2009-04-28,33026327,33026327,,
2009-04-29,31853948,31853948,,
2009-04-30,26280650,26280650,,
2009-05-01,23522379,23522379,,
2009-05-02,21736339,21736339,,
2009-05-03,28801744,28801744,,
2009-05-04,34058850,34058850,,
2009-05-05,33844860,33844860,,
2009-05-06,33091681,33091681,,
2009-05-07,29210314,29210314,,
2009-05-08,26905531,26905531,,
2009-05-09,22422102,22422102,,
2009-05-10,27519321,27519321,,
2009-05-11,34818474,34818474,,
2009-05-12,33181920,33181920,,
2009-05-13,32402208,32402208,,
2009-05-14,31855113,31855113,,
2009-05-15,28830928,28830928,,
2009-05-16,23689609,23689609,,
2009-05-17,29733124,29733124,,
2009-05-18,34092345,34092345,,
2009-05-19,31706098,31706098,,
2009-05-20,25757038,25757038,,
2009-05-21,24899503,24899503,,
2009-05-22,27012920,27012920,,
2009-05-23,20892241,20892241,,
2009-05-24,27391458,27391458,,
2009-05-25,32497881,32497881,,
2009-05-26,33738841,33738841,,
2009-05-27,32657324,32657324,,
2009-05-28,31452013,31452013,,
2009-05-29,26351749,26351749,,
2009-05-30,21404935,21404935,,
2009-05-31,24405307,24405307,,
2009-06-01,28925819,28925819,,
2009-06-02,31577028,31577028,,
2009-06-03,32995016,32995016,,
2009-06-04,32730549,32730549,,
2009-06-05,29320008,29320008,,
2009-06-06,25893751,25893751,,
2009-06-07,31261950,31261950,,
2009-06-08,33829436,33829436,,
2009-06-09,33940140,33940140,,
2009-06-10,30195539,30195539,,
2009-06-11,31742989,31742989,,
2009-06-12,27307053,27307053,,
2009-06-13,22119231,22119231,,
2009-06-14,28909674,28909674,,
2009-06-15,34918424,34918424,,
2009-06-16,34107390,34107390,,
2009-06-17,31208646,31208646,,
2009-06-18,30343340,30343340,,
2009-06-19,28235436,28235436,,
2009-06-20,24204133,24204133,,
2009-06-21,29948138,29948138,,
2009-06-22,33995340,33995340,,
2009-06-23,32904302,32904302,,
2009-06-24,30693844,30693844,,
2009-06-25,30420969,30420969,,
2009-06-26,28567038,28567038,,
2009-06-27,24387589,24387589,,
2009-06-28,30067974,30067974,,
2009-06-29,33552514,33552514,,
2009-06-30,30521541,30521541,,
2009-07-01,28951377,28951377,,
2009-07-02,27494165,27494165,,
2009-07-03,25650166,25650166,,
2009-07-04,21588425,21588425,,
2009-07-05,26562395,26562395,,
2009-07-06,31770888,31770888,,
2009-07-07,31333483,31333483,,
2009-07-08,31056272,31056272,,
2009-07-09,29374668,29374668,,
2009-07-10,27691140,27691140,,
2009-07-11,22772464,22772464,,
2009-07-12,26977469,26977469,,
2009-07-13,29338757,29338757,,
2009-07-14,30052869,30052869,,
2009-07-15,28584006,28584006,,
2009-07-16,26250928,26250928,,
2009-07-17,26503902,26503902,,
2009-07-18,23337640,23337640,,
2009-07-19,28230183,28230183,,
2009-07-20,30823625,30823625,,
2009-07-21,28532577,28532577,,
2009-07-22,28316310,28316310,,
2009-07-23,28841207,28841207,,
2009-07-24,26937368,26937368,,
2009-07-25,22366845,22366845,,
2009-07-26,24000459,24000459,,
2009-07-27,28061635,28061635,,
2009-07-28,28194978,28194978,,
2009-07-29,26182902,26182902,,
2009-07-30,26757472,26757472,,
2009-07-31,23714926,23714926,,
2009-08-01,18393680,18393680,,
2009-08-02,24882492,24882492,,
2009-08-03,28715055,28715055,,
2009-08-04,27427558,27427558,,
2009-08-05,26201603,26201603,,
2009-08-06,25329904,25329904,,
2009-08-07,24410694,24410694,,
2009-08-08,21247639,21247639,,
2009-08-09,25765035,25765035,,
2009-08-10,30951216,30951216,,
2009-08-11,30139682,30139682,,
2009-08-12,30534411,30534411,,
2009-08-13,29987792,29987792,,
2009-08-14,27011667,27011667,,
2009-08-15,20599286,20599286,,
2009-08-16,24865326,24865326,,
2009-08-17,29977657,29977657,,
2009-08-18,30202514,30202514,,
2009-08-19,27839605,27839605,,
2009-08-20,27895777,27895777,,
2009-08-21,27371882,27371882,,
2009-08-22,22381362,22381362,,
2009-08-23,25738997,25738997,,
2009-08-24,31231847,31231847,,
2009-08-25,32827238,32827238,,
2009-08-26,31400995,31400995,,
2009-08-27,29154386,29154386,,
2009-08-28,27391151,27391151,,
2009-08-29,22883401,22883401,,
2009-08-30,26327271,26327271,,
2009-08-31,30621032,30621032,,
2009-09-01,30222210,30222210,,
2009-09-02,31762250,31762250,,
2009-09-03,30725119,30725119,,
2009-09-04,28317296,28317296,,
2009-09-05,23166966,23166966,,
2009-09-06,27784550,27784550,,
2009-09-07,31384699,31384699,,
2009-09-08,30372862,30372862,,
2009-09-09,30001649,30001649,,
2009-09-10,30168349,30168349,,
2009-09-11,29265629,29265629,,
2009-09-12,22065283,22065283,,
2009-09-13,27678612,27678612,,
2009-09-14,32484715,32484715,,
2009-09-15,33098358,33098358,,
2009-09-16,32062199,32062199,,
2009-09-17,31292944,31292944,,
2009-09-18,27619231,27619231,,
2009-09-19,24124705,24124705,,
2009-09-20,29380911,29380911,,
2009-09-21,33387953,33387953,,
2009-09-22,30814536,30814536,,
2009-09-23,31449156,31449156,,
2009-09-24,31571769,31571769,,
2009-09-25,30135571,30135571,,
2009-09-26,23922346,23922346,,
2009-09-27,28294395,28294395,,
2009-09-28,32724038,32724038,,
2009-09-29,31754593,31754593,,
2009-09-30,31881160,31881160,,
2009-10-01,29992618,29992618,,
2009-10-02,27458008,27458008,,
2009-10-03,26318565,26318565,,
2009-10-04,29441603,29441603,,
2009-10-05,30412763,30412763,,
2009-10-06,29430557,29430557,,
2009-10-07,30420290,30420290,,
2009-10-08,31293200,31293200,,
2009-10-09,27928698,27928698,,
2009-10-10,24381134,24381134,,
2009-10-11,29382409,29382409,,
2009-10-12,31534281,31534281,,
2009-10-13,31622470,31622470,,
2009-10-14,28533810,28533810,,
2009-10-15,0,0,,
2009-10-16,29333248,29333248,,
2009-10-17,24648767,24648767,,
2009-10-18,25438983,25438983,,
2009-10-19,31235583,31235583,,
2009-10-20,30909723,30909723,,
2009-10-21,31080370,31080370,,
2009-10-22,31331165,31331165,,
2009-10-23,29349495,29349495,,
2009-10-24,24964277,24964277,,
2009-10-25,30362671,30362671,,
2009-10-26,32689331,32689331,,
2009-10-27,32432936,32432936,,
2009-10-28,33897522,33897522,,
2009-10-29,31923682,31923682,,
2009-10-30,28582934,28582934,,
2009-10-31,24862400,24862400,,
2009-11-01,29381333,29381333,,
2009-11-02,31377357,31377357,,
2009-11-03,34800231,34800231,,
2009-11-04,34038973,34038973,,
2009-11-05,33209446,33209446,,
2009-11-06,31026347,31026347,,
2009-11-07,26770857,26770857,,
2009-11-08,33626886,33626886,,
2009-11-09,37424201,37424201,,
2009-11-10,36213882,36213882,,
2009-11-11,34819790,34819790,,
2009-11-12,34862103,34862103,,
2009-11-13,30989571,30989571,,
2009-11-14,26711748,26711748,,
2009-11-15,34335754,34335754,,
2009-11-16,35265527,35265527,,
2009-11-17,27673963,27673963,,
2009-11-18,29404369,29404369,,
2009-11-19,28136735,28136735,,
2009-11-20,26431896,26431896,,
2009-11-21,23447401,23447401,,
2009-11-22,16890754,16890754,,
2009-11-23,28842753,28842753,,
2009-11-24,27944853,27944853,,
2009-11-25,28075753,28075753,,
2009-11-26,28461095,28461095,,
2009-11-27,26284258,26284258,,
2009-11-28,23456992,23456992,,
2009-11-29,25296010,25296010,,
2009-11-30,27005276,27005276,,
2009-12-01,26410691,26410691,,
2009-12-02,25573402,25573402,,
2009-12-03,25927596,25927596,,
2009-12-04,25156654,25156654,,
2009-12-05,23793918,23793918,,
2009-12-06,26454990,26454990,,
2009-12-07,27010188,27010188,,
2009-12-08,26688285,26688285,,
2009-12-09,25842879,25842879,,
2009-12-10,26280868,26280868,,
2009-12-11,25039867,25039867,,
2009-12-12,23503485,23503485,,
2009-12-13,25080787,25080787,,
2009-12-14,24200059,24200059,,
2009-12-15,24649772,24649772,,
2009-12-16,27005241,27005241,,
2009-12-17,26640823,26640823,,
2009-12-18,25584105,25584105,,
2009-12-19,22695904,22695904,,
2009-12-20,26408585,26408585,,
2009-12-21,28110696,28110696,,
2009-12-22,25818218,25818218,,
2009-12-23,25163276,25163276,,
2009-12-24,17690883,17690883,,
2009-12-25,21817767,21817767,,
2009-12-26,24270999,24270999,,
2009-12-27,28367846,28367846,,
2009-12-28,27531747,27531747,,
2009-12-29,27614420,27614420,,
2009-12-30,27242689,27242689,,
2009-12-31,21344397,21344397,,
2010-01-01,26992231,26992231,,
2010-01-02,26295470,26295470,,
2010-01-03,24615528,24615528,,
2010-01-04,24815154,24815154,,
2010-01-05,24326132,24326132,,
2010-01-06,30916134,30916134,,
2010-01-07,31056838,31056838,,
2010-01-08,30809355,30809355,,
2010-01-09,29157923,29157923,,
2010-01-10,30260471,30260471,,
2010-01-11,31462600,31462600,,
2010-01-12,33337205,33337205,,
2010-01-13,31635685,31635685,,
2010-01-14,32598736,32598736,,
2010-01-15,30751813,30751813,,
2010-01-16,28442877,28442877,,
2010-01-17,32984765,32984765,,
2010-01-18,33962050,33962050,,
2010-01-19,33550414,33550414,,
2010-01-20,32922776,32922776,,
2010-01-21,33132418,33132418,,
2010-01-22,31744986,31744986,,
2010-01-23,736286,736286,,
2010-01-24,545459,545459,,
2010-01-25,33290321,33290321,,
2010-01-26,33745758,33745758,,
2010-01-27,33275969,33275969,,
2010-01-28,31696742,31696742,,
2010-01-29,28305860,28305860,,
2010-01-30,29136289,29136289,,
2010-01-31,32037655,32037655,,
2010-02-01,32395593,32395593,,
2010-02-02,32552150,32552150,,
2010-02-03,32477209,32477209,,
2010-02-04,32705972,32705972,,
2010-02-05,30805971,30805971,,
2010-02-06,28919813,28919813,,
2010-02-07,32349896,32349896,,
2010-02-08,23273278,23273278,,
2010-02-09,31549499,31549499,,
2010-02-10,30455634,30455634,,
2010-02-11,29766441,29766441,,
2010-02-12,29210088,29210088,,
2010-02-13,26601191,26601191,,
2010-02-14,29320975,29320975,,
2010-02-15,30507297,30507297,,
2010-02-16,30115194,30115194,,
2010-02-17,30479698,30479698,,
2010-02-18,30879601,30879601,,
2010-02-19,27141462,27141462,,
2010-02-20,28216141,28216141,,
2010-02-21,31675764,31675764,,
2010-02-22,32053910,32053910,,
2010-02-23,31763502,31763502,,
2010-02-24,27126876,27126876,,
2010-02-25,23845516,23845516,,
2010-02-26,23689216,23689216,,
2010-02-27,25346678,25346678,,
2010-02-28,29687446,29687446,,
2010-03-01,27408401,27408401,,
2010-03-02,28835467,28835467,,
2010-03-03,28190411,28190411,,
2010-03-04,29278955,29278955,,
2010-03-05,27557081,27557081,,
2010-03-06,26301707,26301707,,
2010-03-07,28023566,28023566,,
2010-03-08,30698325,30698325,,
2010-03-09,28959498,28959498,,
2010-03-10,27850999,27850999,,
2010-03-11,28290426,28290426,,
2010-03-12,28471659,28471659,,
2010-03-13,26299562,26299562,,
2010-03-14,27787807,27787807,,
2010-03-15,28500622,28500622,,
2010-03-16,27437958,27437958,,
2010-03-17,26755712,26755712,,
2010-03-18,25901206,25901206,,
2010-03-19,25984796,25984796,,
2010-03-20,24194308,24194308,,
2010-03-21,27202733,27202733,,
2010-03-22,26992652,26992652,,
2010-03-23,25578612,25578612,,
2010-03-24,25825379,25825379,,
2010-03-25,25032579,25032579,,
2010-03-26,25956528,25956528,,
2010-03-27,23597329,23597329,,
2010-03-28,25429394,25429394,,
2010-03-29,26443844,26443844,,
2010-03-30,24521180,24521180,,
2010-03-31,26921627,26921627,,
2010-04-01,27142939,27142939,,
