Date,Total,Desktop site,Mobile site,Zero site
2008-01-01,533,533,0,0
2008-01-02,559,559,0,0
2008-01-03,616,616,0,0
2008-01-04,516,516,0,0
2008-01-05,624,624,0,0
2008-01-06,475,475,0,0
2008-01-07,488,488,0,0
2008-01-08,750,750,0,0
2008-01-09,651,651,0,0
2008-01-10,549,549,0,0
2008-01-11,523,523,0,0
2008-01-12,571,571,0,0
2008-01-13,525,525,0,0
2008-01-14,519,519,0,0
2008-01-15,732,732,0,0
2008-01-16,667,667,0,0
2008-01-17,753,753,0,0
2008-01-18,1134,1134,0,0
2008-01-19,763,763,0,0
2008-01-20,715,715,0,0
2008-01-21,715,715,0,0
2008-01-22,659,659,0,0
2008-01-23,682,682,0,0
2008-01-24,752,752,0,0
2008-01-25,809,809,0,0
2008-01-26,820,820,0,0
2008-01-27,783,783,0,0
2008-01-28,657,657,0,0
2008-01-29,959,959,0,0
2008-01-30,784,784,0,0
2008-01-31,755,755,0,0
2008-02-01,753,753,0,0
2008-02-02,616,616,0,0
2008-02-03,543,543,0,0
2008-02-04,702,702,0,0
2008-02-05,552,552,0,0
2008-02-06,917,917,0,0
2008-02-07,617,617,0,0
2008-02-08,763,763,0,0
2008-02-09,488,488,0,0
2008-02-10,637,637,0,0
2008-02-11,572,572,0,0
2008-02-12,505,505,0,0
2008-02-13,807,807,0,0
2008-02-14,452,452,0,0
2008-02-15,555,555,0,0
2008-02-16,599,599,0,0
2008-02-17,484,484,0,0
2008-02-18,464,464,0,0
2008-02-19,619,619,0,0
2008-02-20,722,722,0,0
2008-02-21,655,655,0,0
2008-02-22,707,707,0,0
2008-02-23,847,847,0,0
2008-02-24,537,537,0,0
2008-02-25,718,718,0,0
2008-02-26,723,723,0,0
2008-02-27,498,498,0,0
2008-02-28,790,790,0,0
2008-02-29,469,469,0,0
2008-03-01,680,680,0,0
2008-03-02,570,570,0,0
2008-03-03,430,430,0,0
2008-03-04,242,242,0,0
2008-03-05,609,609,0,0
2008-03-06,541,541,0,0
2008-03-07,362,362,0,0
2008-03-08,911,911,0,0
2008-03-09,400,400,0,0
2008-03-10,459,459,0,0
2008-03-11,501,501,0,0
2008-03-12,485,485,0,0
2008-03-13,748,748,0,0
2008-03-14,688,688,0,0
2008-03-15,414,414,0,0
2008-03-16,444,444,0,0
2008-03-17,366,366,0,0
2008-03-18,500,500,0,0
2008-03-19,422,422,0,0
2008-03-20,600,600,0,0
2008-03-21,383,383,0,0
2008-03-22,457,457,0,0
2008-03-23,606,606,0,0
2008-03-24,614,614,0,0
2008-03-25,499,499,0,0
2008-03-26,456,456,0,0
2008-03-27,433,433,0,0
2008-03-28,537,537,0,0
2008-03-29,596,596,0,0
2008-03-30,719,719,0,0
2008-03-31,793,793,0,0
2008-04-01,818,818,0,0
2008-04-02,702,702,0,0
2008-04-03,426,426,0,0
2008-04-04,707,707,0,0
2008-04-05,451,451,0,0
